title,product_url,image_url,current_price,original_price,discount,rating,reviews,offer,delivery
"Dell Inspiron 15 3530 Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD WVA IPS Display, MS Office Home & Student 2021, Platinum Silver, 1.62 KG)",/dell-inspiron-15-3530-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-wva-ips-display-ms-office-home-student-2021-platinum-silver-1-62-kg-/p/306647,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1724858615/Croma%20Assets/Computers%20Peripherals/Laptop/Images/306647_0_cdu0nd.png?tr=w-400,"₹54,890","₹65,089",16% Off,3,2,Rs 2500 Instant Discount,N/A
"Lenovo IdeaPad Slim 3 15IAH8 Intel Core i5 12th Gen Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD IPS Display, MS Office 2021, Arctic Grey, 1.62 KG)",/lenovo-ideapad-slim-3-15iah8-intel-core-i5-12th-gen-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-ips-display-ms-office-2021-arctic-grey-1-62-kg-/p/303421,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1718028177/Croma%20Assets/Computers%20Peripherals/Laptop/Images/303421_0_xa8tdy.png?tr=w-400,"₹52,900","₹78,290",32% Off,4.2,5,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"acer Aspire 3 A325-45 Intel Celeron N4500 Thin & Light Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD LED Backlit Display, Pure Silver, 1.5 KG)",/acer-aspire-3-a325-45-intel-celeron-n4500-thin-light-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-led-backlit-display-pure-silver-1-5-kg-/p/311051,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1732187805/Croma%20Assets/Computers%20Peripherals/Laptop/Images/311051_0_xkl2ks.png?tr=w-400,"₹24,999","₹36,999",32% Off,5,2,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP 14 gr0001TU Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 14 inch Full HD Display, MS Office 2021, Natural Silver, 1.4 KG)",/hp-14-gr0001tu-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-14-inch-full-hd-display-ms-office-2021-natural-silver-1-4-kg-/p/307931,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1732187876/Croma%20Assets/Computers%20Peripherals/Laptop/Images/307931_0_z5lomc.png?tr=w-400,"₹60,499","₹70,501",14% Off,1,1,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP Intel FR5007TU Core i5 12th Gen Thin and Light Laptop (8GB, 512GB, Windows 11 Home, 15.6 inch Full HD IPS Display, MS Office Home and Student 2021, Silver, 1.69 KG)",/hp-intel-fr5007tu-core-i5-12th-gen-thin-and-light-laptop-8gb-512gb-windows-11-home-15-6-inch-full-hd-ips-display-ms-office-home-and-student-2021-silver-1-69-kg-/p/259473,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1724064217/259473_0_pv1xzl.png?tr=w-400,"₹43,990","₹68,255",36% Off,4.4,38,Rs 2500 Instant Discount,"Standard Delivery by Wed, 7th May"
"DELL Inspiron 3530 Intel Core i5 13th Gen Thin and Light Laptop (16GB, 1TB SSD, Windows, 15.6 inch FHD Display, MS Office 2021, Platinum Silver, 1.65 KG)",/dell-inspiron-3530-intel-core-i5-13th-gen-thin-and-light-laptop-16gb-1tb-ssd-windows-15-6-inch-fhd-display-ms-office-2021-platinum-silver-1-65-kg-/p/300257,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1706882619/Croma%20Assets/Computers%20Peripherals/Laptop/Images/300257_0_g7jvel.png?tr=w-400,"₹61,990","₹80,990",23% Off,N/A,N/A,Rs 5000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP 15-fd0111TU Intel Core i5 12th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office, Natural Silver, 1.59 KG)",/hp-15-fd0111tu-intel-core-i5-12th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-natural-silver-1-59-kg-/p/310954,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1736342915/Croma%20Assets/Computers%20Peripherals/Laptop/Images/310954_0_wx0jbi.png?tr=w-400,"₹49,990","₹64,805",23% Off,N/A,N/A,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"Lenovo LOQ 15IRX9 Intel Core i7 14th Gen Gaming Laptop (16GB, 1TB SSD, Windows 11 Home, 8GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 4060, MS Office Home & Student 2021, Luna Grey, 2.38 KG)",/lenovo-loq-15irx9-intel-core-i7-14th-gen-gaming-laptop-16gb-1tb-ssd-windows-11-home-8gb-graphics-15-6-inch-144-hz-full-hd-ips-display-nvidia-geforce-rtx-4060-ms-office-home-student-2021-luna-grey-2-38-kg-/p/305701,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721213651/Croma%20Assets/Computers%20Peripherals/Laptop/Images/305701_0_xceqoj.png?tr=w-400,"₹1,25,990","₹1,77,490",29% Off,N/A,N/A,Rs 10000 Instant Discount,"Standard Delivery by Wed, 7th May"
"Lenovo IdeaPad 3 15IAU7 Intel Core i3 12th Gen Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD, MS Office 2021, Arctic Grey, 1.63 KG)",/lenovo-ideapad-3-15iau7-intel-core-i3-12th-gen-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-ms-office-2021-arctic-grey-1-63-kg-/p/300236,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1715936027/Croma%20Assets/Computers%20Peripherals/Laptop/Images/300236_0_daxvoh.png?tr=w-400,"₹34,499","₹60,890",43% Off,4,10,Rs 3000 Instant Discount,"Standard Delivery by Wed, 7th May"
"Apple MacBook Pro (14.2 inch, M4 Pro, 24GB, 512GB, macOS Sequoia, Space Black)",/apple-macbook-pro-14-2-inch-m4-pro-24gb-512gb-macos-sequoia-space-black-/p/310971,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744357319/Croma%20Assets/Computers%20Peripherals/Laptop/Images/310971_0_wimaeb.png?tr=w-400,"₹1,99,900",N/A,N/A,5,1,Rs 23000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP 15-fc0026AU AMD Ryen 3 Thin and Light Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch FHD Display, MS Office 2021, Natural Silver, 1.75 KG)",/hp-15-fc0026au-amd-ryen-3-thin-and-light-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-fhd-display-ms-office-2021-natural-silver-1-75-kg-/p/272250,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1724064225/272250_0_ddxoce.png?tr=w-400,"₹30,490","₹47,716",36% Off,5,1,Rs 3000 Instant Discount,"Standard Delivery by Wed, 7th May"
"Lenovo IdeaPad 1 15IGL7 Intel Celeron Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch HD Display, MS Office 2021, Cloud Grey, 1.54 KG)",/lenovo-ideapad-1-15igl7-intel-celeron-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-hd-display-ms-office-2021-cloud-grey-1-54-kg-/p/307998,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1728567590/Croma%20Assets/Computers%20Peripherals/Laptop/Images/307998_0_rszlzh.png?tr=w-400,"₹25,994","₹47,290",45% Off,1,1,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP Omen 16 xd0020AX AMD Ryzen 7 Gaming Laptop (16GB, 1TB SSD, Windows 11 Home, 8GB Graphics, 16.1 inch 165 Hz FHD Display, NVIDIA GeForce RTX 4060, MS Office 2021, Shadow Black, 2.37 KG)",/hp-omen-16-xd0020ax-amd-ryzen-7-gaming-laptop-16gb-1tb-ssd-windows-11-home-8gb-graphics-16-1-inch-165-hz-fhd-display-nvidia-geforce-rtx-4060-ms-office-2021-shadow-black-2-37-kg-/p/307123,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1739459415/Croma%20Assets/Computers%20Peripherals/Laptop/Images/307123_0_qdgrja.png?tr=w-400,"₹1,05,990","₹1,32,644",20% Off,N/A,N/A,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP 14 EM0025AU AMD Ryen 3 Thin and Light Laptop (8GB, 512GB SSD, Windows 11 Home, 14 inch Full HD Display, MS Office 2021, Natural Silver, 1.4 KG)",/hp-14-em0025au-amd-ryen-3-thin-and-light-laptop-8gb-512gb-ssd-windows-11-home-14-inch-full-hd-display-ms-office-2021-natural-silver-1-4-kg-/p/303715,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1738249567/Croma%20Assets/Computers%20Peripherals/Laptop/Images/303715_0_glwa0f.png?tr=w-400,"₹33,590","₹47,715",30% Off,1,1,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP FD1099TU Intel Core Ultra 5 Thin and Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office 2021, Natural Silver, 1.69 KG)",/hp-fd1099tu-intel-core-ultra-5-thin-and-light-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-2021-natural-silver-1-69-kg-/p/305974,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1739459039/Croma%20Assets/Computers%20Peripherals/Laptop/Images/305974_0_avasaq.png?tr=w-400,"₹66,990","₹80,755",17% Off,N/A,N/A,Rs 4000 Instant Discount,"Standard Delivery by Wed, 7th May"
"Apple MacBook Air (13.6 inch, M2, 16GB, 256GB, macOS Sequoia, Midnight)",/apple-macbook-air-13-6-inch-m2-16gb-256gb-macos-sequoia-midnight-/p/311847,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1730787306/Croma%20Assets/Computers%20Peripherals/Laptop/Images/311847_0_c50tjj.png?tr=w-400,"₹81,990","₹85,900",5% Off,N/A,N/A,Rs 8000 Instant Discount,"Standard Delivery by Wed, 7th May"
"Lenovo IdeaPad Slim 3 GXIN Intel Core i7 13th Gen (15.6 inch, 16GB, 512GB, Windows 11 Home, MS Office 2021, Intel UHD Graphics, WUXGA IPS Display, Arctic Grey, 83EM00GXIN)",/lenovo-ideapad-slim-3-gxin-intel-core-i7-13th-gen-15-6-inch-16gb-512gb-windows-11-home-ms-office-2021-intel-uhd-graphics-wuxga-ips-display-arctic-grey-83em00gxin-/p/275418,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1715930247/Croma%20Assets/Computers%20Peripherals/Laptop/Images/275418_0_xl6kze.png?tr=w-400,"₹63,490","₹1,23,090",48% Off,N/A,N/A,Rs 5000 Instant Discount,"Standard Delivery by Wed, 7th May"
"Apple MacBook Pro (14.2 inch, M4, 24GB, 1TB, macOS Sequoia, Space Black)",/apple-macbook-pro-14-2-inch-m4-24gb-1tb-macos-sequoia-space-black-/p/310930,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744356051/Croma%20Assets/Computers%20Peripherals/Laptop/Images/310930_0_zf8ndk.png?tr=w-400,"₹1,91,990","₹2,09,900",9% Off,N/A,N/A,Rs.5000 Instant Discount*,"Standard Delivery by Wed, 7th May"
"Apple MacBook Air (13.6 inch, M2, 16GB, 256GB, macOS Sequoia, Starlight)",/apple-macbook-air-13-6-inch-m2-16gb-256gb-macos-sequoia-starlight-/p/311846,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1730787285/Croma%20Assets/Computers%20Peripherals/Laptop/Images/311846_0_s2cspp.png?tr=w-400,"₹81,990","₹85,900",5% Off,N/A,N/A,Rs 8000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP Pavilion 15-eg3081TU Intel Core i5 13th Gen (15.6 inch, 16GB, 512GB, Windows 11 Home, MS Office 2021, Intel Iris Xe, Full HD IPS Display, Fog Blue, 875N6PA)",/hp-pavilion-15-eg3081tu-intel-core-i5-13th-gen-15-6-inch-16gb-512gb-windows-11-home-ms-office-2021-intel-iris-xe-full-hd-ips-display-fog-blue-875n6pa-/p/272771,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1724064233/272771_0_deepq8.png?tr=w-400,"₹64,740","₹84,830",24% Off,5,1,Rs 3500 Instant Discount,"Standard Delivery by Wed, 7th May"
"ASUS TUF Gaming A15 FA566NC-HN083WS AMD Ryzen 5 7535HS Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050, MS Office Home and Student, Graphite Black, 2.3 KG)",/asus-tuf-gaming-a15-fa566nc-hn083ws-amd-ryzen-5-7535hs-gaming-laptop-16gb-512gb-ssd-windows-11-home-4gb-graphics-15-6-inch-144-hz-full-hd-ips-display-nvidia-geforce-rtx-3050-ms-office-home-and-student-graphite-black-2-3-kg-/p/306675,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1732187858/Croma%20Assets/Computers%20Peripherals/Laptop/Images/306675_0_escjss.png?tr=w-400,"₹70,990","₹81,990",13% Off,N/A,N/A,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP 15-fc0156AU AMD Ryzen 5 Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office Home 2021, Natural Silver, 1.59 KG)",/hp-15-fc0156au-amd-ryzen-5-thin-light-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-home-2021-natural-silver-1-59-kg-/p/313243,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1739352121/Croma%20Assets/Computers%20Peripherals/Laptop/Images/313243_0_zmo7iw.png?tr=w-400,"₹41,990","₹57,969",28% Off,N/A,N/A,Rs 1500 Instant Discount,"Standard Delivery by Wed, 7th May"
"ASUS Vivobook 16 Intel Core Ultra 5 Laptop (16GB, 512GB SSD, Windows 11 Home, 16 inch WUXGA Display, MS Office Home 2024, Cool Silver, 1.88 KG)",/asus-vivobook-16-intel-core-ultra-5-laptop-16gb-512gb-ssd-windows-11-home-16-inch-wuxga-display-ms-office-home-2024-cool-silver-1-88-kg-/p/313265,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1739350054/Croma%20Assets/Computers%20Peripherals/Laptop/Images/313265_0_kjbqet.png?tr=w-400,"₹70,990","₹93,990",24% Off,N/A,N/A,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"DELL G15 5530 Intel Core i7 13th Gen Laptop (16GB, 1TB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch Full HD Display, MS Office 2021, Dark Shadow Gray, 2.8 KG)",/dell-g15-5530-intel-core-i7-13th-gen-laptop-16gb-1tb-ssd-windows-11-home-6gb-graphics-15-6-inch-full-hd-display-ms-office-2021-dark-shadow-gray-2-8-kg-/p/302757,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1718802126/Croma%20Assets/Computers%20Peripherals/Laptop/Images/302757_0_djryrp.png?tr=w-400,"₹95,990","₹1,17,999",19% Off,5,3,Rs 6000 Instant Discount,"Standard Delivery by Wed, 7th May"
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 (15.6 inch, 8GB, 512GB, Windows 11, MS Office 2021, NVIDIA GeForce RTX 3050, Full HD IPS Display, Shadow Black, 82K2022XIN)",/lenovo-ideapad-gaming-3-15ach6-amd-ryzen-7-15-6-inch-8gb-512gb-windows-11-ms-office-2021-nvidia-geforce-rtx-3050-full-hd-ips-display-shadow-black-82k2022xin-/p/272402,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1715941421/Croma%20Assets/Computers%20Peripherals/Laptop/Images/272402_0_bskukm.png?tr=w-400,"₹59,990","₹1,23,090",51% Off,5,1,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"DELL Inspiron 15 3520 Intel Core i3 12th Gen Notebook Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office 2021, Carbon Black, 1.85 KG)",/dell-inspiron-15-3520-intel-core-i3-12th-gen-notebook-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-2021-carbon-black-1-85-kg-/p/269367,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1715941440/Croma%20Assets/Computers%20Peripherals/Laptop/Images/269367_0_mtjdjs.png?tr=w-400,"₹38,990","₹54,500",28% Off,4.3,3,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"ASUS TUF Gaming A15 FA507NUR-LP082W AMD Ryzen 7 Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 4050, Mecha Gray, 2.2 KG)",/asus-tuf-gaming-a15-fa507nur-lp082w-amd-ryzen-7-gaming-laptop-16gb-512gb-ssd-windows-11-home-6gb-graphics-15-6-inch-144-hz-full-hd-ips-display-nvidia-geforce-rtx-4050-mecha-gray-2-2-kg-/p/311621,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1738218191/Croma%20Assets/Computers%20Peripherals/Laptop/Images/311621_0_k12ioi.png?tr=w-400,"₹84,990","₹1,11,990",24% Off,N/A,N/A,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"Apple MacBook Pro (14.2 inch, M4, 16GB, 512GB, macOS Sequoia, Space Black)",/apple-macbook-pro-14-2-inch-m4-16gb-512gb-macos-sequoia-space-black-/p/310938,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744356142/Croma%20Assets/Computers%20Peripherals/Laptop/Images/310938_0_sgvggv.png?tr=w-400,"₹1,69,900",N/A,N/A,N/A,N/A,Rs 20000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP Pavilion Plus 14 ew0116TU Intel Core i5 13th Gen Laptop (16GB, 512GB SSD, Windows 11 Home, 14 inch WUXGA IPS Display, MS Office 2021, Natural Silver Aluminum, 1.38 KG)",/hp-pavilion-plus-14-ew0116tu-intel-core-i5-13th-gen-laptop-16gb-512gb-ssd-windows-11-home-14-inch-wuxga-ips-display-ms-office-2021-natural-silver-aluminum-1-38-kg-/p/304952,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1739458616/Croma%20Assets/Computers%20Peripherals/Laptop/Images/304952_0_hqbim1.png?tr=w-400,"₹71,490","₹82,928",14% Off,N/A,N/A,Rs 4000 Instant Discount,"Standard Delivery by Wed, 7th May"
"HP Victus 15 FA1310TX Intel Core i5 12th Gen Gaming Laptop (8GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz Full HD Display, NVIDIA GeForce RTX 2050, MS Office 2021, Performance Blue, 2.29 KG)",/hp-victus-15-fa1310tx-intel-core-i5-12th-gen-gaming-laptop-8gb-512gb-ssd-windows-11-home-4gb-graphics-15-6-inch-144-hz-full-hd-display-nvidia-geforce-rtx-2050-ms-office-2021-performance-blue-2-29-kg-/p/307122,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1725879810/Croma%20Assets/Computers%20Peripherals/Laptop/Images/307122_0_ektpeb.png?tr=w-400,"₹55,990","₹76,850",27% Off,5,1,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
