title,product_url,image_url,current_price,original_price,discount,rating,reviews,offer,delivery
"Dell Inspiron 15 3530 Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD WVA IPS Display, MS Office Home & Student 2021, Platinum Silver, 1.62 KG)",/dell-inspiron-15-3530-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-wva-ips-display-ms-office-home-student-2021-platinum-silver-1-62-kg-/p/306647,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1724858615/Croma%20Assets/Computers%20Peripherals/Laptop/Images/306647_0_cdu0nd.png?tr=w-400,"₹56,490","₹65,089",13% Off,3,2,Rs 4000 Instant Discount,"Standard Delivery by Mon, 5th May"
"HP 14s-dq5138tu Intel Core i3 12th Gen Laptop (8GB, 512GB SSD, Windows 11 Home, 14 inch Full HD IPS Display, MS Office 2021, Natural Silver, 1.46 KG)",/hp-14s-dq5138tu-intel-core-i3-12th-gen-laptop-8gb-512gb-ssd-windows-11-home-14-inch-full-hd-ips-display-ms-office-2021-natural-silver-1-46-kg-/p/304464,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1738250233/Croma%20Assets/Computers%20Peripherals/Laptop/Images/304464_0_xtjdqz.png?tr=w-400,"₹36,490","₹51,133",29% Off,4.7,3,Rs 2500 Instant Discount,"Standard Delivery by Sat, 3rd May"
"ASUS Vivo book 15 Intel Core i3 12th Gen Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office 2021, Cool Silver, 1.7 KG)",/asus-vivo-book-15-intel-core-i3-12th-gen-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-2021-cool-silver-1-7-kg-/p/306192,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1728640246/Croma%20Assets/Computers%20Peripherals/Laptop/Images/306192_0_dqoswh.png?tr=w-400,"₹32,899","₹54,990",40% Off,2,4,N/A,"Standard Delivery by Wed, 7th May"
"Lenovo IdeaPad Slim 3 15IAH8 Intel Core i5 12th Gen Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD IPS Display, MS Office 2021, Arctic Grey, 1.62 KG)",/lenovo-ideapad-slim-3-15iah8-intel-core-i5-12th-gen-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-ips-display-ms-office-2021-arctic-grey-1-62-kg-/p/303421,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1718028177/Croma%20Assets/Computers%20Peripherals/Laptop/Images/303421_0_xa8tdy.png?tr=w-400,"₹53,750","₹78,290",31% Off,4.2,5,N/A,"Standard Delivery by Sat, 3rd May"
"HP 15s-fr5009TU Intel Core i3 12th Gen Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch FHD Display, MS Office 2021, Natural Silver, 1.69 KG)",/hp-15s-fr5009tu-intel-core-i3-12th-gen-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-fhd-display-ms-office-2021-natural-silver-1-69-kg-/p/272534,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1724064229/272534_0_wkbwv2.png?tr=w-400,"₹35,499","₹51,134",31% Off,3.9,10,Rs 2000 Instant Discount,"Standard Delivery by Mon, 5th May"
"acer Aspire 3 A325-45 Intel Celeron N4500 Thin & Light Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD LED Backlit Display, Pure Silver, 1.5 KG)",/acer-aspire-3-a325-45-intel-celeron-n4500-thin-light-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-led-backlit-display-pure-silver-1-5-kg-/p/311051,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1732187805/Croma%20Assets/Computers%20Peripherals/Laptop/Images/311051_0_xkl2ks.png?tr=w-400,"₹25,990","₹36,999",30% Off,5,2,N/A,"Standard Delivery by Mon, 5th May"
"HP 14 gr0001TU Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 14 inch Full HD Display, MS Office 2021, Natural Silver, 1.4 KG)",/hp-14-gr0001tu-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-14-inch-full-hd-display-ms-office-2021-natural-silver-1-4-kg-/p/307931,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1732187876/Croma%20Assets/Computers%20Peripherals/Laptop/Images/307931_0_z5lomc.png?tr=w-400,"₹59,999","₹70,501",15% Off,1,1,N/A,"Standard Delivery by Mon, 5th May"
"HP Intel FR5007TU Core i5 12th Gen Thin and Light Laptop (8GB, 512GB, Windows 11 Home, 15.6 inch Full HD IPS Display, MS Office Home and Student 2021, Silver, 1.69 KG)",/hp-intel-fr5007tu-core-i5-12th-gen-thin-and-light-laptop-8gb-512gb-windows-11-home-15-6-inch-full-hd-ips-display-ms-office-home-and-student-2021-silver-1-69-kg-/p/259473,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1724064217/259473_0_pv1xzl.png?tr=w-400,"₹47,499","₹68,255",30% Off,4.4,38,Rs 3500 Instant Discount,"Standard Delivery by Mon, 5th May"
"Lenovo LOQ 15IRX9 Intel Core i5 13th Gen Gaming Laptop (24GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 4050, MS Office 2021, Luna Grey, 2.38 KG)",/lenovo-loq-15irx9-intel-core-i5-13th-gen-gaming-laptop-24gb-512gb-ssd-windows-11-home-6gb-graphics-15-6-inch-144-hz-full-hd-ips-display-nvidia-geforce-rtx-4050-ms-office-2021-luna-grey-2-38-kg-/p/307439,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1728567570/Croma%20Assets/Computers%20Peripherals/Laptop/Images/307439_0_liai0v.png?tr=w-400,"₹86,250","₹1,25,690",31% Off,N/A,N/A,N/A,"Standard Delivery by Mon, 5th May"
"DELL Inspiron 3530 Intel Core i5 13th Gen Thin and Light Laptop (16GB, 1TB SSD, Windows, 15.6 inch FHD Display, MS Office 2021, Platinum Silver, 1.65 KG)",/dell-inspiron-3530-intel-core-i5-13th-gen-thin-and-light-laptop-16gb-1tb-ssd-windows-15-6-inch-fhd-display-ms-office-2021-platinum-silver-1-65-kg-/p/300257,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1706882619/Croma%20Assets/Computers%20Peripherals/Laptop/Images/300257_0_g7jvel.png?tr=w-400,"₹61,990","₹80,990",23% Off,N/A,N/A,Rs 6000 Instant Discount,"Standard Delivery by Mon, 5th May"
