title,price,url,image_url
"Asus VivoBook Go 15 E1504FA-NJ549WS Standard Laptop (AMD Ryzen 5 7520U Processor/16 GB/512 GB SSD/Windows 11/Office Home and Student/Full HD), 39.62 cm - 15.6 inch, Mixed Black","₹39,999.00
32% OFF",https://www.reliancedigital.in/product/asus-vivobook-go-15-e1504fa-nj549ws-standard-laptop-amd-ryzen-5-7520u-processor16-gb512-gb-ssdwindows-11office-home-and-studentfull-hd-3962-cm-156-inch-mixed-black-m5azya-8795697?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/DUP7gd9VT2-asus-vivobookgo15-laptop-494493751-i-1-1200wx1200h.jpeg
"Asus NK331W Vivobook Go Laptop (AMD Ryzen 3 7320U/8GB/1TB SSD/AMD Radeon Graphics/Windows 11 Home/FHD), 35.56 cm (14.0 inch)","₹29,999.00
42% OFF",https://www.reliancedigital.in/product/asus-nk331w-vivobook-go-laptop-amd-ryzen-3-7320u8gb1tb-ssdamd-radeon-graphicswindows-11-homefhd-3556-cm-140-inch-ln1unv-7534171?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/cM0RITZyjm-asus-vivobook-go-nk331w-494267920-i-1-1200wx1200h.jpeg
"Asus VivoBook X1504ZA-NJ322WS Standard Laptop (Intel Core i3-1215U/8 GB/512 GB/Intel UHD Graphics/Windows 11/Office Home and Student/Full HD), 39.62 cm (15.6 inch), Cool Silver","₹33,999.00
38% OFF",https://www.reliancedigital.in/product/asus-vivobook-x1504za-nj322ws-standard-laptop-intel-core-i3-1215u8-gb512-gbintel-uhd-graphicswindows-11office-home-and-studentfull-hd-3962-cm-156-inch-cool-silver-m05bf3-8426112?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/ZTK27EkHIb-asus-vivobook-laptop-494421373-i-1-1200wx1200h.jpeg
"HP 15s-fr5007TU Laptop with Fast Charge(12th Gen Intel Core i5-1235U/8GB RAM/512GB SSD/Iris Xe Graphics/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 Inch), Natural Silver","₹43,999.00
35% OFF",https://www.reliancedigital.in/product/hp-15s-fr5007tu-laptop-12th-gen-intel-core-i5-1235u8gb-ram512gb-ssdiris-xe-graphicswindows-11-homemsofhd-396-cm-156-inch-natural-silver-l62ceu?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/G0hcMTbhC5-hp-15s-fr5007tu-laptop-493177048-i-1-1200wx1200h.jpeg
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5500H Laptop (39.62 cm (15.6 inch)/7CIN/5R5H/8 GB/512 GB SSD/2050/BT), Shadow Black","₹43,549.00",https://www.reliancedigital.in/product/lenovo-ideapad-gaming-3-15ach6-amd-ryzen-5-5500h-laptop-3962-cm-156-inch7cin5r5h8-gb512-gb-ssd2050bt-shadow-black-lucm60-7537962?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/FzB54Rc2iu-lenovo-ideapad-3-15ach6-shadow-black-494352964-i-1-1200wx1200h.jpeg
"Lenovo Ideapad Slim 3 Laptop (Intel Core i3 -1215U, 8 GB / 512 GB / / 3.3GHz/ Windows 11 Home /39.62 cm (15.6 inch) /FHD (1920x1080) /Smart Feature/Anti-glare)","₹34,499.00
43% OFF",https://www.reliancedigital.in/product/lenovo-82rk00vvin-ideapad-slim-3-laptop-intel-core-i3-1215u-6c-2p-4e-8t-p-core-12-44ghz-e-core-09-33ghz-10mb-windows-11-home-3962-cm-156-inch-fhd-1920x1080-tn-250nits-anti-glare-lnsycc-7534475?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/rCayEiJqRQ-lenovo-82rk00vvin-493839067-i-1-1200wx1200h.jpeg
Asus TUF A15 FA506NFR-HN259WS Gaming Laptop (AMD Ryzen 7 7435HS/16 GB/512 GB SSD/4GB-Nvidia GeForce RTX 2050/4GB/Win11 Home/MSOffice/Full HD),"₹58,999.00
29% OFF",https://www.reliancedigital.in/product/asus-tuf-a15-fa506nfr-hn259ws-gaming-laptop-amd-ryzen-7-7435hs16-gb512-gb-ssdnvidiawin11-homemsofficefull-hd-3962-cm-156-inch-graphite-black-lz2p5k-8056120?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/M0rR7Yanru-asus-tuf-a15-gaming-laptop-494422105-i-1-1200wx1200h.jpeg
"HP 14-DQ5138TU Laptop (14 inch (35.56 cm) FHD IPS Display Intel Core i3 1215U/8 GB DDR4 -2933 SDRAM/512 GB SSD/Intel UHD Graphics/Windows 11 I MSO), Natural Silver","₹36,999.00
28% OFF",https://www.reliancedigital.in/product/hp-14-dq5138tu-laptop-14-inch-3556-cm-fhd-isp-display-intel-core-i3-1215u8-gb-ddr4-2933-sdram512-gb-ssdintel-uhd-graphicswindows-11-i-mso-natural-silver-lv69i2-7563843?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/_ElZqhbRm0-hp-14-dq5138tu-laptop-494352360-i-1-1200wx1200h.jpeg
"Dell Inspiron 15 3530 Notebook Laptop (Intel i5-1334U/16 GB/512 GB SSD/Integrated/Windows 11/MSOffice/Full HD), 39.62 cm - 15.6 inch, Platinum Silver","₹55,249.00
30% OFF",https://www.reliancedigital.in/product/dell-inspiron-15-3530-notebook-laptop-intel-i5-1334u16-gb512-gb-ssdintegratedwindows-11msofficefull-hd-3962-cm-156-inch-platinum-silver-m4skzn-8771313?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/j5Q2ufFBHz-dell-inspiron-15-3530-laptop-494493501-i-1-1200wx1200h.jpeg
"Lenovo 8EIN IdeaPad Slim 3 Laptop (AMD Ryzen 3 7320U/8GB/512GB SSD/Integrated AMD Radeon 610M Graphics/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 inch)","₹32,999.00
45% OFF",https://www.reliancedigital.in/product/lenovo-8ein-ideapad-slim-3-laptop-amd-ryzen-3-7320u8gb512gb-ssdintegrated-amd-radeon-610m-graphicswindows-11-homemsofhd-3962-cm-156-inch-lk9tss?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/fBE0bTNMxV-lenovo-ideapadslim-laptop-493838274-i-1-1200wx1200h.jpeg
"Lenovo IdeaPad Slim3 8HIN Standard Laptop (Intel Core i5-12450H/16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home/MSOffice/Full HD), 39.6 cm (15.6 Inch), Arctic Grey","₹51,290.00
34% OFF",https://www.reliancedigital.in/product/lenovo-ideapad-slim3-8hin-standard-laptop-intel-core-i5-12450h16-gb512-gb-ssdintel-uhd-graphicswindows-11-homemsofficefull-hd-396-cm-156-inch-arctic-grey-m6q2t6-8866348?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/OAZe9OisKa-lenovo-ip3-15-laptop-494493554-i-1-1200wx1200h.jpeg
"HP 14-em0214AU Standard Laptop (AMD Ryzen 5 7320U/16 GB/512 GB SSD/AMD Radeon Graphics/Windows 11 Home/MSOffice 2021 Home & Student/Full HD), 35.6 cm - 14 inch, Natural Silver","₹45,249.00
34% OFF",https://www.reliancedigital.in/product/hp-14-em0214au-standard-laptop-amd-ryzen-3-7320u16-gb512-gb-ssdamd-radeon-graphicswindows-11-homemsoffice-2021-home-and-studentfull-hd-356-cm-14-inch-natural-silver-m791gl-8891215?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/TPUGdmqlrf-hp-14-em0214au-laptop-494494041-i-1-1200wx1200h.jpeg
"HP 15 15-fd0492TU Standard Laptop (Intel Core i5-1334U/16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Home/MSOffice/Full HD), 39.62 cm - 15.6 inch, Natural Silver","₹56,249.00
16% OFF",https://www.reliancedigital.in/product/hp-15-15-fd0492tu-standard-laptop-intel-core-i5-1334u16-gb512-gb-ssdintel-iris-xe-graphicswindows-11-homemsofficefull-hd-3962-cm-156-inch-natural-silver-m6ymds-8882599?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/RRhNr_UNFv-hp-15-fd0492tu-laptop-494493946-i-1-1200wx1200h.jpeg
"Dell Inspiron 15 3530 Notebook Laptop (Intel Core i3-1305U/8 GB/512 GB SSD/Windows 11/MsOffice/Full HD), 39.62 cm - 15.6 inch, Platinum Silver","₹35,999.00
18% OFF",https://www.reliancedigital.in/product/dell-inspiron-15-3530-notebook-laptop-intel-core-i3-1305u8-gb512-gb-ssdwindows-11msofficefull-hd-3962-cm-156-inch-platinum-silver-m6ep9p-8853534?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/lGjAxAY16D-dell-inspiron-15-laptop-494493651-i-1-1200wx1200h.jpeg
"Apple MW123HN/A MacBook Air (Apple M4 Chip/16 GB/256 GB SSD/MacOS Sequoia/Liquid Retina), 34.46 cm (13.6 inch), Midnight","₹89,900.00",https://www.reliancedigital.in/product/apple-mw123hna-macbook-air-apple-m4-chip16-gb256-gb-ssdmacos-sequoialiquid-retina-3446-cm-136-inch-midnight-m7xac9-8969062?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/UKaZiaDr4U-apple-macbook-air-494494495-i-1-1200wx1200h.jpeg
"Apple MC6T4HN/A MacBook Air (Apple M4 Chip/16 GB/256 GB SSD/MacOS Sequoia/Liquid Retina), 34.46 cm (13.6 inch), Sky Blue","₹89,900.00",https://www.reliancedigital.in/product/apple-mc6t4hna-macbook-air-apple-m4-chip16-gb256-gb-ssdmacos-sequoialiquid-retina-3446-cm-136-inch-sky-blue-m7x7uv-8968953?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/K-c5GMwN2A-apple-macbook-air-494494492-i-1-1200wx1200h.jpeg
"Lenovo IdeaPad Slim 3 15IRH8 83EM00A1IN Standard Laptop (Intel Core i7-13620H/16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home/MS Office/Full HD), 39.62 cm - 15.6 inch, Arctic Grey","₹67,749.00
30% OFF",https://www.reliancedigital.in/product/lenovo-ideapad-slim-3-standard-laptop-intel-core-i7-13620h16-gb512-gb-ssdintel-uhd-graphicswindows-11-homems-officefull-hd-3962-cm-156-inch-arctic-grey-m6q2t6-8866349?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/1qvuWtkHWj-lenovo-ip3-15-laptop-494493544-i-1-1200wx1200h.jpeg
"Dell Inspiron G-15 5530 Gaming Laptop (Intel Core i5/16 GB/512 GB SSD/6 GB-RTX 3050 Graphics/Windows 11/MS Office/Full HD), 39.62 cm - 15.6 inch, Dark Shadow Gray","₹71,749.00
24% OFF",https://www.reliancedigital.in/product/dell-inspiron-g-15-5530-gaming-laptop-intel-core-i516-gb512-gb-ssd6-gb-rtx-3050-graphicswindows-11ms-officefull-hd-3962-cm-156-inch-dark-shadow-gray-m6td22-8880045?internal_source=search_collection,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/W4VZsXsqI7-dell-g15-5530-laptop-494494029-i-1-1200wx1200h.jpeg
